artist,song,genre,lyrics
Pop Smoke,Mood Swings,r&b,"(Mood swings), Oh, you ain't know I could sing? (Oh, oh, oh), Hahaha (Yeah), Shorty a lil' baddie (She a lil' baddie), Shorty my lil' boo thing (Boo thing), And shorty got the fatty, Shorty be catching mood swings, Every time I fuck without a rubber, I nutted on the covers, And I kept it undercover, 'Cause I don't kiss and tell (Kiss and tell), Every time I fuck, she call me daddy, My lil' mama nasty, I see the pussy through the panties (Whatever you want), She taste like candy, She a queen, like Nefertiti, Uh oh, my lil' mama sittin' pretty, And we be shoppin' through the city (Oh, oh), I gave her keys to the Bentley (Woah, woah), Get off your knees, you don't gotta cry to me, I'm your best friend, baby, you don't gotta lie, I'll get you everything that you want and that you need from Chanel to Celine, It's on you to decide, Valentino, yeah, I put you in the best, Start liftin' up your dress, start kissin' on your neck (Oh no, no), Start rubbin' on your butt, start massagin' your breasts, I ain't wanna give you a baby just yet, so I backed out and nutted on your breasts, I put you in a Uber (Uber) and sent you to your bed (Oh), The very next day (Oh), you sent me a text (Oh), You pulled up to the crib and we did it again (Oh, oh), Shorty a lil' baddie (She a lil' baddie), Shorty my lil' boo thing (Boo thing), And shorty got the fatty, Shorty be catching mood swings, Every time I fuck without a rubber, I nutted on the covers, And I kept it undercover, 'Cause I don't kiss and tell (Ooh), You know, I never found love until I looked into your eyes (Until I looked into your eyes), First time blushin', I ain't even gon' lie (Ain't even gon' lie), Four rounds in, leavin' bruises on your thighs, You the only bitch could make me spin off on the guys, And the only bitch that make me wanna nut when I'm inside, It's your vibe, leave with me you gettin' high, Girl, ain't bitches fuckin' wit' you even if they tried, She a tsunami, I ain't never felt it dry, Close my eyes while I sleep, hope you be there when I wake, Honestly, I feel the vibe we have is great, And if there's something in your mind, you can tell me, And if I told you what's on mine, would you help me?, You gon' see the bigger picture, it's just gon' take time, Just because you mine, I'ma keep you lookin' like a dime, Ain't no imperfections, girl, you fine, Baby, what's your sign?, I hope you ain't against the slow grind, (Work, work, it's me and you) Me and you, Keep it silent, there ain't nothin' we can't do, Through the storm, baby, we can make it through, Why you actin' brand new? You know you my lil' boo, yeah, Got up on my Birkin, it's workin', She said she a virgin (It's hurtin'), She my biggest fan, she always lurkin', And she know I'm a man, I'ma put that work in, I know she can't stand me, I'm fancy, So I'ma bring her out when I get my Grammy, Late night sex, she can't find her panties, Couldn't hold it in, now she need a plan B, Shorty a lil' baddie, She my lil' boo thing, And shorty got the fatty (Shorty got the fatty), Shorty be catching mood swings, Every time I fuck without a rubber, I nutted on her covers, And I kept it undercover, 'Cause I don't kiss and tell"
Pop Smoke,Mood Swings,rap,"(Mood swings), Oh, you ain't know I could sing? (Oh, oh, oh), Hahaha (Yeah), Shorty a lil' baddie (She a lil' baddie), Shorty my lil' boo thing (Boo thing), And shorty got the fatty, Shorty be catching mood swings, Every time I fuck without a rubber, I nutted on the covers, And I kept it undercover, 'Cause I don't kiss and tell (Kiss and tell), Every time I fuck, she call me daddy, My lil' mama nasty, I see the pussy through the panties (Whatever you want), She taste like candy, She a queen, like Nefertiti, Uh oh, my lil' mama sittin' pretty, And we be shoppin' through the city (Oh, oh), I gave her keys to the Bentley (Woah, woah), Get off your knees, you don't gotta cry to me, I'm your best friend, baby, you don't gotta lie, I'll get you everything that you want and that you need from Chanel to Celine, It's on you to decide, Valentino, yeah, I put you in the best, Start liftin' up your dress, start kissin' on your neck (Oh no, no), Start rubbin' on your butt, start massagin' your breasts, I ain't wanna give you a baby just yet, so I backed out and nutted on your breasts, I put you in a Uber (Uber) and sent you to your bed (Oh), The very next day (Oh), you sent me a text (Oh), You pulled up to the crib and we did it again (Oh, oh), Shorty a lil' baddie (She a lil' baddie), Shorty my lil' boo thing (Boo thing), And shorty got the fatty, Shorty be catching mood swings, Every time I fuck without a rubber, I nutted on the covers, And I kept it undercover, 'Cause I don't kiss and tell (Ooh), You know, I never found love until I looked into your eyes (Until I looked into your eyes), First time blushin', I ain't even gon' lie (Ain't even gon' lie), Four rounds in, leavin' bruises on your thighs, You the only bitch could make me spin off on the guys, And the only bitch that make me wanna nut when I'm inside, It's your vibe, leave with me you gettin' high, Girl, ain't bitches fuckin' wit' you even if they tried, She a tsunami, I ain't never felt it dry, Close my eyes while I sleep, hope you be there when I wake, Honestly, I feel the vibe we have is great, And if there's something in your mind, you can tell me, And if I told you what's on mine, would you help me?, You gon' see the bigger picture, it's just gon' take time, Just because you mine, I'ma keep you lookin' like a dime, Ain't no imperfections, girl, you fine, Baby, what's your sign?, I hope you ain't against the slow grind, (Work, work, it's me and you) Me and you, Keep it silent, there ain't nothin' we can't do, Through the storm, baby, we can make it through, Why you actin' brand new? You know you my lil' boo, yeah, Got up on my Birkin, it's workin', She said she a virgin (It's hurtin'), She my biggest fan, she always lurkin', And she know I'm a man, I'ma put that work in, I know she can't stand me, I'm fancy, So I'ma bring her out when I get my Grammy, Late night sex, she can't find her panties, Couldn't hold it in, now she need a plan B, Shorty a lil' baddie, She my lil' boo thing, And shorty got the fatty (Shorty got the fatty), Shorty be catching mood swings, Every time I fuck without a rubber, I nutted on her covers, And I kept it undercover, 'Cause I don't kiss and tell"
Post Malone & Swae Lee,Sunflower,r&b,"Ayy, ayy, ayy, ayy (Ooh), Ooh, ooh, ooh, ooh (Ooh), Ayy, ayy, Ooh, ooh, ooh, ooh, Needless to say, I keep in check, She was a bad-bad, nevertheless (Yeah), Callin' it quits now, baby, I'm a wreck (Wreck), Crash at my place, baby, you're a wreck (Wreck), Needless to say, I'm keeping in check, She was a bad-bad, nevertheless, Callin' it quits now, baby, I'm a wreck, Crash at my place, baby, you're a wreck, Thinkin' in a bad way, losin' your grip, Screamin' at my face, baby, don't trip, Someone took a big L, don't know how that felt, Lookin' at you sideways, party on tilt, Ooh-ooh, some things you just can't refuse, She wanna ride me like a cruise and I'm not tryna lose, Then you're left in the dust, unless I stuck by ya, You're a sunflower, I think your love would be too much, Or you'll be left in the dust, unless I stuck by ya, You're the sunflower, you're the sunflower, Every time I'm leavin' on ya (Ooh), You don't make it easy, no (No, no), Wish I could be there for ya (Ooh), Give me a reason to, oh (Oh), Every time I'm walkin' out (Oh), I can hear you tellin' me to turn around (Oh, oh), Fightin' for my trust and you won't back down (No), Even if we gotta risk it all right now, oh (Now), I know you're scared of the unknown (Known), You don't wanna be alone (Alone), I know I always come and go (And go), But it's out of my control, And you'll be left in the dust, unless I stuck by ya, You're the sunflower, I think your love would be too much, Or you'll be left in the dust, unless I stuck by ya, You're the sunflower, you're the sunflower (Yeah)"
Prince and the Revolution,Purple Rain,r&b,"I never meant to cause you any sorrow, I never meant to cause you any pain, I only wanted one time to see you laughing, I only wanted to see you, Laughing in the purple rain, Purple rain, purple rain, Purple rain, purple rain, Purple rain, purple rain, I only want to see you, Bathing in the purple rain, I never wanted to be your weekend lover, I only wanted to be some kind of friend, hey, Baby, I could never steal you from another, It's such a shame our friendship had to end, Purple rain, purple rain, Purple rain, purple rain, Purple rain, purple rain, I only want to see you, Underneath the purple rain, Honey, I know, I know, I know times are changing, It's time we all reach out, For something new, that means you too, You say you want a leader, But you can't seem to make up your mind, I think you better close it, And let me guide you to the purple rain, Purple rain, purple rain, Purple rain, purple rain, wooo!, If you know what I'm singing about up here, Come on, raise your hand, Purple rain, purple rain, I only want to see you, Only want to see you in the purple rain, NA, NA"
Queen,Bohemian Rhapsody,rock,"Is this the real life? Is this just fantasy?, Caught in a landslide, no escape from reality, Open your eyes, look up to the skies and see, I'm just a poor boy, I need no sympathy, Because I'm easy come, easy go, little high, little low, Any way the wind blows doesn't really matter to me, to me, Mama, just killed a man, Put a gun against his head, pulled my trigger, now he's dead, Mama, life had just begun, But now I've gone and thrown it all away, Mama, ooh, didn't mean to make you cry, If I'm not back again this time tomorrow, Carry on, carry on as if nothing really matters, Too late, my time has come, Sends shivers down my spine, body's aching all the time, Goodbye, everybody, I've got to go, Gotta leave you all behind and face the truth, Mama, ooh (Any way the wind blows), I don't wanna die, I sometimes wish I'd never been born at all, NA, I see a little silhouetto of a man, Scaramouche, Scaramouche, will you do the Fandango?, Thunderbolt and lightning, very, very frightening me(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro magnifico, But I'm just a poor boy, nobody loves me, He's just a poor boy from a poor family, Spare him his life from this monstrosity, Easy come, easy go, will you let me go?, Bismillah! No, we will not let you go, (Let him go) Bismillah! We will not let you go, (Let him go) Bismillah! We will not let you go, (Let me go) Will not let you go, (Let me go) Will not let you go, (Never, never, never, never let me go) Ah, No, no, no, no, no, no, no(Oh, mamma mia, mamma mia) Mamma mia, let me go, Beelzebub has a devil put aside for me, for me, for me!, So you think you can stone me and spit in my eye?, So you think you can love me and leave me to die?, Oh, baby, can't do this to me, baby!, Just gotta get out, just gotta get right outta here, (Ooh), (Ooh, yeah, ooh, yeah), Nothing really matters, anyone can see, Nothing really matters, Nothing really matters to me, Any way the wind blows"
Queen & David Bowie,Under Pressure,rock,"Mmm num ba de, Dum bum ba be, Doo buh dum ba beh beh, Pressure pushing down on me, Pressing down on you, no man ask for, Under pressure that burns a building down, Splits a family in two, Puts people on streets, Um ba ba be, Um ba ba be, De day da, Ee day da- that's okay, It's the terror of knowing what this world is about, Watching some good friends screaming, ""Let me out!""Pray tomorrow gets me higher, Pressure on people, people on streets, Day day de mm hm, Da da da ba ba, Okay, Chipping around, kick my brains around the floor, These are the days it never rains but it pours, Ee do ba be, Ee da ba ba ba, Um bo bo, Be lap, People on streets, Ee da de da de, People on streets, Ee da de da de da de da, It's the terror of knowing what this world is about, Watching some good friends screaming, 'Let me out'Pray tomorrow gets me higher, high, Pressure on people, people on streets, Turned away from it all like a blind man, Sat on a fence but it don't work, Keep coming up with love but it's so slashed and torn, Why, why, why?, Love, love, love, love, love, Insanity laughs under pressure we're breaking, Can't we give ourselves one more chance?, Why can't we give love that one more chance?, Why can't we give love, give love, give love, give love, Give love, give love, give love, give love, give love?, Because love's such an old-fashioned word, And love dares you to care for, The people on the (People on streets) edge of the night, And love (People on streets) dares you to change our way of, Caring about ourselves, This is our last dance, This is our last dance, This is ourselves under pressure, Under pressure, Under pressure, Pressure"
Queen Naija,Bitter,r&b,"Finna get twisted with my friends, Nigga, fuck you and that bitch, I know what you been on, So I had to cut you off, Tried to give you good love, but you grimy, Promise, nigga, that you won't know where to find me, I swear it hurt at the time but it was timely, Had to get all the bullshit behind me, you know, I put you first when you were the worst, You never deserved my love, We never revealed our trust, 'cause you know I'ma bring that shit up when I'm mad, When I'm mad (When I'm mad), Still thinkin' back to what we had (Oh, yeah), That don't mean I'm at the crib lookin' sad, Lifе's good when you got your own bag, Callin' my girls and we gonna fuck it up, Nigga, you a joke, I ain't nеver laughed so much, I could stay home in my feelings but you know, Good cake too sweet to be bitter (Bitter), Pretty girl with a hustle is a winner (Pretty girl, yeah), Gotta keep a big bag, I'm a spender (I'm a spender), Stayin' focused on the queen in the mirror (Mirror), Good cake too sweet to be be bitter (Bitter), No flaws on my neck, chain glitter (Glitter), Croppin' all the lame niggas out the picture (Pic), Swear I can't be triggered by someone who don't know my worth (Yeah, yeah), Boss bitches never bitter (Never), My only competition when I'm lookin' in the mirror (On God), Rich nigga, big tipper, he a real spender (Cash), Big baller, he play his position like a center (Yeah), Runnin' to a bitch like me, you gotta keep that (Yeah), He love it when I climb on top, baby, let that seat back, When I get to bitchin', he ain't trippin', he like, ""Relax"" (Yeah), And he know my worth, my ex nigga couldn't see that (On God), Let him hit the lotto, he a winner (Shit), Eat me up for dinner (Hmm), And I got that WAP, I hope he a good swimmer (Splash), Can't go big on me, I go bigger (Bigger), An independent bitch, an insecure nigga triggered, Good cake too sweet to be bitter (Bitter), Pretty girl with a hustle is a winner (Pretty girl, yeah), Gotta keep a big bag, I'm a spender (I'm a spender), Stayin' focused on the girl in the mirror (Mirror), Good cake too sweet to be be bitter (Bitter), No flaws on my neck, chain glitter (Glitter), Croppin' all the lame niggas out the picture (Pic), Swear I can't be triggered by someone who don't know my worth (Yeah, yeah), You wasn't worth my time, You gotta be more than fine, Good love make you miss the signs, let it slide, but, I can't let you in no more, I gotta re-learn my worth (Worth), Recognize what gon' work, You better not waste my time 'cause you know I'ma bring that shit up when I'm mad (When I'm mad), When I'm mad (When I'm mad), Still thinkin' back to what we had (What we had), That don't mean I'm at the crib lookin' sad (Sad), Life's good when you got your own bag (Bag), Call my girls and we gonna fuck it up (Yeah), Nigga, you a joke, I ain't never laughed so much (Ha, ha), I could stay home in my feelings but you know, Good cake too sweet to be bitter (Bitter), Pretty girl with a hustle is a winner (Pretty girl, yeah), Gotta keep a big bag, I'm a spender (I'm a spender), Stayin' focused on the queen in the mirror (Mirror), Good cake too sweet to be be bitter (Bitter), No flaws on my neck, chain glitter (Glitter), Croppin' all the lame niggas out the picture (Pic), Swear I can't be triggered by someone who don't know my worth"
Rick Astley,Never Gonna Give You Up,pop,"NA, We're no strangers to love, You know the rules and so do IA full commitment's what I'm thinking of, You wouldn't get this from any other guy, I just wanna tell you how I'm feeling, Gotta make you understand, Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you, We've known each other for so long, Your heart's been aching but you're too shy to say it, Inside we both know what's been going on, We know the game and we're gonna play it, And if you ask me how I'm feeling, Don't tell me you're too blind to see, Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you, Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you, (Ooh, give you up), (Ooh, give you up), (Ooh) Never gonna give, never gonna give (Give you up), (Ooh) Never gonna give, never gonna give (Give you up), We've known each other for so long, Your heart's been aching but you're too shy to say it, Inside we both know what's been going on, We know the game and we're gonna play it, I just wanna tell you how I'm feeling, Gotta make you understand, Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you, Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you, Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you"
Ricky Montgomery,Line Without a Hook,pop,"I don't really give a damn about the way you touch me, When we're alone, You can hold my hand, If no one's home, Do you like it when I'm away?, If I went and hurt my body, baby, Would you love me the same?, I can feel all my bones coming back, And I'm craving motion, Mama never really learned how to live by herself, It's a curse, And it's growing, You're a pond and I'm an ocean, Oh, all my emotions, Feel like explosions when you are around, And I've found a way to kill the sound, oh, Oh, baby, I am a wreck when I'm without you, I need you here to stay, I broke all my bones that day I found you, Crying at the lake, Was it something I said to make you feel like you're a burden?, Oh, and if I could take it all back, I swear that I would pull you from the tide, Oh, whoa, whoa, whoa, I said no, I said no, Listen close, it's a no, The wind is a-pounding on my back, And I found hope in a heart attack, Oh at last, it is past, Now I've got it, and you can't have it, Baby, I am a wreck when I'm without you, I need you here to stay, I broke all my bones that day I found you, Crying at the lake, Was it something I said to make you feel like you're a burden?, Oh, and if I could take it all back, I swear that I would pull you from the tide, Darling, when I'm fast asleep, I've seen this person watching me, Saying, ""Is it worth it? Is it worth it? Tell me, is it worth it?"", Oh-oh, Because there is something, and there is nothing, There is nothing in between, And in my eyes, there is a tiny dancer, Watching over me, he's singing, ""She's a, she's a lady, and I am just a boy"", He's singing, ""She's a, she's a lady, and I am just a line without a""—, Oh baby, I am a wreck when I'm without you, I need you here to stay, Broke all my bones that day I found you, Crying at the lake, Oh, was it something I said to make you feel like you're a burden?, Oh, and if I could take it all back, I swear that I would pull you from the tide"
Rihanna,Desperado,r&b,"Desperado, Sittin' in an old Monte Carlo, A man whose heart is hollow, Mhm, take it easy, I'm not tryna go against yuh, Actually, I'm goin' witcha, Gotta get up out of here, And yuh ain't leavin' me behind, I know you won't cause we share common interests, You need me, there ain't no leaving me behind, Never, no, no, I just want outta here, yeah, Once I'm gone, ain't no going back, If you want, we can be runaways, Running from any sight of love, Yeah, yeah, there ain't nothin', There ain't nothin' here for me, There ain't nothin' here for me anymore, But I don't wanna be alone, Desperado, Sitting on your ole' Monte Carlo, We've both had our hearts broke, Unh, hunh, take it easy, I'm not tryna go against yuh, I can be a lone wolf witcha, Gotta get up out of here, And you ain't leaving me behind, I know you won't cause we share common interests, You need me, there ain't no leaving me behind, Never, no, no, both want outta here, yeah, Once we're gone, ain't no going back, If you want, we can be runaways, Running from any sight of love, Yeah, yeah, there ain't nothin', There ain't nothin' here for me, There ain't nothin' here for me anymore, But I don't wanna be alone, Dear desperado, Yeah, I don't wanna be alone, Dear desperado, Yeah, I don't wanna be alone, If you want, we can be runaways, Running from any sight of love, Yeah, yeah, there ain't nothin', There ain't nothin' here for me, There ain't nothin' here for me anymore, But I don't wanna be alone, Yeah-yeah-ah, Yeah-yeah-ah, Yeah-yeah-ah, Yeah-yeah-ah, Yeah-yeah-ah, Yeah-yeah-ah"
Rihanna,Umbrella,r&b,"Uh-huh, uh-huh (Yeah, Rihanna), Uh-huh, uh-huh (Good Girl Gone Bad), Uh-huh, uh-huh (Take three, action), Uh-huh, uh-huh (Hov), No clouds in my stones, Let it rain, I hydroplane in the bank, Coming down with the Dow Jones, When the clouds come, we gone, we Roc-A-Fella, We fly higher than weather, in G5's or better, You know me (You know me), In anticipation for precipitation, stack chips for the rainy day, Jay—Rain Man is back, With Little Miss Sunshine, Rihanna, where you at?, You have my heart, And we'll never be worlds apart, Maybe in magazines, But you'll still be my star, Baby, ‘cause in the dark, You can't see shiny cars, And that's when you need me there, With you, I'll always share, Because, When the sun shine, we shine together, Told you I'll be here forever, Said I'll always be your friend, Took an oath, I'ma stick it out to the end, Now that it's raining more than ever, Know that we'll still have each other, You can stand under my umbrella, You can stand under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh, These fancy things, Will never come in between, You're part of my entity, Here for infinity, When the war has took its part, When the world has dealt its cards, If the hand is hard, Together we'll mend your heart, Because, When the sun shine, we shine together, Told you I'll be here forever, Said I'll always be your friend, Took an oath, I'ma stick it out to the end, Now that it's raining more than ever, Know that we'll still have each other, You can stand under my umbrella, You can stand under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh, You can run into my arms, It's okay, don't be alarmed, Come into me, There's no distance in between our love, So gon' and let the rain pour, I'll be all you need and more, Because, When the sun shine, we shine together, Told you I'll be here forever, Said I'll always be your friend, Took an oath, I'ma stick it out to the end, Now that it's raining more than ever, Know that we'll still have each other, You can stand under my umbrella, You can stand under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh, It's rainin', rainin', Ooh, baby, it's rainin', rainin', Baby, come here to me, Come into me, It's rainin', rainin', Ooh, baby, it's rainin', rainin', You can always come into me, Come into me, It's pourin' rain, It's pourin' rain, Come here to me, Come into me, It's pourin' rain, It's pourin' rain"
Rondodasosa,SLATT,rap,"NA, AVA on the beat, Hey, i'm calling you, why don't you answer?, Ah, bitch, I'm Rondo, I'm in the street alone, yeah-eah, Ok AVA, This is my soul, yeah, (Rondo, Rondo, Rondo), (Rondo, Rondo, Rondo), (Rondo, Rondo, Rondo), Yeah, Shawty qua con me (Con me), Vuole poppare Perc, Io che sono solo, ho le pare con me (slatt but, what you say?), Lei ama il mio slang (Slang), Prima chiamavo il mio slime (Slime), Ora chiamo il mio slatt (Slatt), Shawty qua con me, Vuole poppare Perc (Perc), Io che sono solo, ho le pare con me (slatt but, what you say?), Lei ama il mio slang (Slang), Prima chiamavo il mio slime (Slime), Ora chiamo il mio slatt (Slatt), Big Glock, eh (Big Glock), Big move, eh (Big move), Shawty vuole me, eh, Non ho nientе (Non ho niente), Dai non ci credo, dici chе hai fame ma no, non è vero, Io ancora ci spero cinque mesi fa non sai quanto valevo (Slatt-slatt), Se parli di me (Slatt-slatt), parli pure dei miei (Slatt-slatt), Rondo sai è la new wave, come Roddy Ricch e Rod Wave, Ci stavo male nella mia stanza, Mi ricordo non mangiavo niente, Ci nutrivamo di arroganza, Non è filato mai nulla bene, Shawty qua con me (Con me), Vuole poppare Perc (Perc), Io che sono solo, Ho le pare con me (Slatt but, what you say?), Lei ama il mio slang  (Slang), Prima chiamavo il mio slime (Slime), Ora chiamo il mio slatt (Slatt), Shawty qua con me, Vuole poppare Perc, Io che sono solo, Ho le pare con me (Slatt but, what you say?), Lei ama il mio slang  (Slang), Prima chiamavo il mio slime (Slime), Ora chiamo il mio slatt (Slatt), Shawty vuole me, Vuole poppare Perc, Vuole una Birkin Bag (Bag), Piena piena di cash, Vuole Plaza più Rondo (Più Rondo), Sopra lo stesso beat, Pronto, chiamo il mio slatt, Movie, stiamo vivendo un film, Ya, ho cicatrici e tattoo sulle braccia, E senza catene nessuno mi tiene, Meglio parli poco che non ti conviene, Quaggiù sembra America e siamo a Milano, Ancora me lo suchi dal mio primo pezzo, E dove vuoi andare? Non sei di Chicago, Sei solo un coglione che vende al parchetto, okay, Moncler gonfio, racks su racks, è verde il conto, Total black e lei mi ama, ama lo slang e il mio vestiario, Mangio rappers zero percocet, Sette in una suite d'albergo, Con Cassandra, Chiara e Jennifer proviamo varie tecniche, ah (Gang, gang, gang), Chiamo lo slatt slatt, Giro un altro back-backwoods, Tu parli: ""Bla-bla"" (Skrt, skrt), Tra sti palazzi ho il passepartout, Fumando gas-gas diretto dalla California, Ma non posso stare tranquillo, bussano alla porta, Shawty qua con me, Vuole poppare Perc, Io che sono solo, Ho le pare con me (Slatt but, what you say?), Lei ama il mio slang  (Slang), Prima chiamavo il mio slime (Slime), Ora chiamo il mio slatt (Slatt), Shawty qua con me, Vuole poppare Perc, Io che sono solo, Ho le pare con me (Slatt but, what you say?), Lei ama il mio slang  (Slang), Prima chiamavo il mio slime (Slime), Ora chiamo il mio slatt (Slatt)"
Sfera Ebbasta,Abracadabra,rap,"NA, Bu-bu-bu-bu, Eh, i raga' in strada fanno la grana, abracadabra (Bu-bu-bu-bu), Nati con nada, vestiti Prada, abracadabra (Bu-bu-bu-bu), Ancora non mi ha chiamato, qualcosa non quadra (Brr, brr, brr), Se lo saranno portato, abracadabra (Uh, uh), Lo fa sparire come una maga, abracadabra (Uh, uh), Erano pochi, mo una montagna, abracadabra (Frr), Dice che è single, ma è fidanzata, abracadabra (Ah), Lo faccio sembrare facile, lo so, abracadabra, Non penso a Sara, non penso a Chiara, non penso a Laura (No, no, no, no), Fiori nel palmo così mi calmo, non sei sul radar (Ah), Sono rimasto lo stesso di quand'ero in strada, In più ho soltanto dei soldi (Uh) e qualche collana (Uh, yah), La mia bitch si fa le unghie ogni due settimane (Brr), Mi odii perché faccio sempre il cazzo che mi pare (Ah), Questo sta pieno di euro, sta pieno di pare (Come mai?), Poveri i ricchi, son tristi, non sanno che fare (Okay), I raga' in strada fanno la grana, abracadabra (Bu-bu-bu-bu), Nati con nada, vestiti Prada, abracadabra (Bu-bu-bu-bu), Ancora non mi ha chiamato, qualcosa non quadra (Brr, brr, brr), Se lo saranno portato, abracadabra (Uh, uh), Lo fa sparire come una maga, abracadabra (Uh, uh), Erano pochi, mo una montagna, abracadabra (Frr), Dice che è single, ma è fidanzata, abracadabra (Ah), Lo faccio sembrare facile, lo so, abracadabra (Pluto), Grew up with nothing, I made it through poverty (Yeah), Tell me you proud of me (Yeah), servin' through property (Yeah), Hottest commodity (Yeah), she gon' acknowledge me (Yeah), Abracadabra, she gone with the wind (Abra'), Abracadabra with three of her friends (Abra', abra'), Emilio Pucci, Italia, Milan (Woah), We made it look easy (Woah), we had us a bond (Woah), I made it look easy (Woah), we totally gone (Ooh-ooh), Four hundred thousand, brrt, for the cheapest car in my garage (Yeah), I count up a check, I didn't mean to flex, I done skrrt-skrrt, hopped in the foreign (Brr-brr), Abracadabra, yeah, I'm at the top of the charts, yeah, woo, Turn it up, never turn down, too turnt up as usual, woo (Too turnt up), I came from the block, the guns go ""Pop, brr, brr"" (Turn up), I hustle for money, I run from the cops, woo, woo (One hunnid), Smokin' my weed and I'm dropping the top (The top), I'm always lit, bitch, I'm always hot (Hot, hot, hot), Running through thots in new Gucci socks, I'm taking these drugs, I'm doin' a lot, Super Future (Brr), I raga' in strada fanno la grana, abracadabra (Bu-bu-bu-bu), Nati con nada, vestiti Prada, abracadabra  (Bu-bu-bu-bu), Ancora non mi ha chiamato, qualcosa non quadra (Brr, brr, brr), Se lo saranno portato, abracadabra (Uh, uh), Lo fa sparire come una maga, abracadabra (Uh, uh), Erano pochi, mo una montagna, abracadabra (Frr), Dice che è single, ma è fidanzata, abracadabra (Ah), Lo faccio sembrare facile, lo so, abracadabra"
Sfera Ebbasta,Giovani Re,pop,"NA, Sto correndo veloce da un po', Sono grossi i miei piani, li ho qui tra le mani, Li stringo più forti che posso, Ho detto a me stesso che un giorno anch'io avrei messo la testa a posto, Ma in questo posto io non conosco, Nessuno a parte i miei amici di sempre, Mentre 'sta gente mi grida addosso, Quando fumo sto sulla luna, Lei mi dice: ""Non avere paura"", A duecento all'ora senza cintura, ah, Non posso frenare, Arrivo, tu fammi passare, scusa, La gente qui ha sempre una scusa, Sbaglia, ma poi non chiede scusa, Nemmeno dopo che ti usa, Dimmi cosa aspetti da un po', Da me che ti aspetti ora?, Il tempo si ferma per noi (Per noi), Questa notte è nostra, Giovani re, piccole star, Si ricorderanno di no-o-oi, di no-o-oi, Via dal quartiere come leggende da bar, Quando parleranno di no-o-oi, di no-o-oi, Tu chiedi a me come finirà, Se sarà come sempre, Tutti sanno quando torno in città, La mia faccia è nelle pubblicità, Mamma ancora mi ripete: ""Fai il bravo""Qual è il prezzo per questa libertà? Ehi, ehi, Io non lo so se di me puoi fidarti, In fondo faccio gli errori di tanti, Ma vivo come se fossi speciale, Anche se poi morirò come gli altri, Non voglio lacrime al mio funerale, Preferirei che somigli ad un party, Gridano il mio nome prima di suonare, Sono lontano, ma posso chiamarti, Dimmi cosa aspetti da un po', Da me che ti aspetti ora?, Il tempo si ferma per noi (Per noi), Questa notte è nostra, Giovani re, piccole star, Si ricorderanno di no-o-oi, di no-o-oi, Via dal quartiere come leggende da bar, Quando parleranno di no-o-oi, di no-o-oi"
